sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
FM-PT,pressure,8553.405619834,1780043242.306087,0.49557155317921076,,-1.1071117051973112,psi,,hardware
FM-FM,flow,8553.405989367,1780043242.3064559,0.7773084375033901,,-0.07091113280190617,gallons_per_minute,,hardware
OM-FM,flow,8553.409601213,1780043242.310068,0.7801605200958872,,-0.061998374700352604,gallons_per_minute,,hardware
OM-PT,pressure,8553.411037474,1780043242.311504,0.3718960728521434,,-32.02598178696415,psi,,hardware
FM-PT,pressure,8553.416039693,1780043242.316506,0.49600070667275276,,-0.999823331811811,psi,,hardware
FM-FM,flow,8553.4166855,1780043242.3171515,0.7771707507575454,,-0.07134140388267082,gallons_per_minute,,hardware
OM-FM,flow,8553.418671698,1780043242.3191376,0.780105087769638,,-0.06217160071988123,gallons_per_minute,,hardware
OM-PT,pressure,8553.420100422,1780043242.3205662,0.37243191867255193,,-31.892020331862017,psi,,hardware
FM-PT,pressure,8553.423940192,1780043242.3244064,0.4966748352855248,,-0.8312911786187982,psi,,hardware
FM-FM,flow,8553.425398064,1780043242.3258638,0.777261945874923,,-0.07105641914086566,gallons_per_minute,,hardware
OM-FM,flow,8553.426826658,1780043242.3272924,0.7802833056787617,,-0.06161466975386984,gallons_per_minute,,hardware
OM-PT,pressure,8553.428240382,1780043242.3287063,0.3729695526325169,,-31.757611841870773,psi,,hardware
FM-PT,pressure,8553.431436844,1780043242.3319027,0.49728876319989723,,-0.6778092000256919,psi,,hardware
FM-FM,flow,8553.433804927,1780043242.3342712,0.7774562570400545,,-0.07044919674982983,gallons_per_minute,,hardware
OM-FM,flow,8553.435377298,1780043242.3358436,0.7801056838161569,,-0.062169738074509956,gallons_per_minute,,hardware
OM-PT,pressure,8553.436852206,1780043242.3373184,0.37345294635927034,,-31.636763410182414,psi,,hardware
FM-PT,pressure,8553.438943774,1780043242.3394098,0.4978836176256678,,-0.529095593583051,psi,,hardware
FM-FM,flow,8553.442096644,1780043242.3425627,0.7773865195973539,,-0.07066712625826907,gallons_per_minute,,hardware
OM-FM,flow,8553.443520868,1780043242.3439867,0.7802743649809796,,-0.06164260943443897,gallons_per_minute,,hardware
OM-PT,pressure,8553.444933055,1780043242.3453991,0.3740281312499203,,-31.492967187519927,psi,,hardware
FM-PT,pressure,8553.446425852,1780043242.3468919,0.49848383647010763,,-0.37904088247309176,psi,,hardware
FM-FM,flow,8553.450246418,1780043242.3507123,0.7773322793641424,,-0.07083662698705515,gallons_per_minute,,hardware
OM-FM,flow,8553.451662753,1780043242.3521287,0.7800454831177572,,-0.06235786525700879,gallons_per_minute,,hardware
OM-PT,pressure,8553.453081959,1780043242.353548,0.3745228498605311,,-31.36928753486723,psi,,hardware
FM-PT,pressure,8553.453966615,1780043242.3544328,0.499048292523419,,-0.23792686914525518,psi,,hardware
FM-FM,flow,8553.458391711,1780043242.3588576,0.7772327395955014,,-0.07114768876405816,gallons_per_minute,,hardware
OM-FM,flow,8553.459823879,1780043242.3602898,0.7800979352114124,,-0.06219395246433654,gallons_per_minute,,hardware
OM-PT,pressure,8553.461245381,1780043242.3617113,0.375042006378413,,-31.23949840539675,psi,,hardware
FM-PT,pressure,8553.462133796,1780043242.3625998,0.4997510313690938,,-0.06224215772654418,psi,,hardware
FM-FM,flow,8553.4665493,1780043242.3670151,0.7772708865727052,,-0.07102847946029653,gallons_per_minute,,hardware
OM-FM,flow,8553.467958117,1780043242.368424,0.7800675368389531,,-0.06228894737827159,gallons_per_minute,,hardware
OM-PT,pressure,8553.469393859,1780043242.36986,0.37559811778046104,,-31.10047055488474,psi,,hardware
FM-PT,pressure,8553.470776565,1780043242.3712425,0.5002314448632532,,0.05786121581330406,psi,,hardware
FM-FM,flow,8553.474683778,1780043242.3751495,0.7773620816900828,,-0.07074349471849137,gallons_per_minute,,hardware
OM-FM,flow,8553.476114335,1780043242.37658,0.7802535033528213,,-0.06170780202243362,gallons_per_minute,,hardware
OM-PT,pressure,8553.477554448,1780043242.3780203,0.3760618419720938,,-30.98453950697655,psi,,hardware
FM-PT,pressure,8553.478451085,1780043242.378917,0.5009151102203262,,0.22877755508154962,psi,,hardware
FM-FM,flow,8553.482840182,1780043242.383306,0.7774169179698132,,-0.07057213134433402,gallons_per_minute,,hardware
OM-FM,flow,8553.484253758,1780043242.3847196,0.780425164750238,,-0.061171360155506255,gallons_per_minute,,hardware
