sensor_name,sensor_kind,t_monotonic,t_wall,raw_value,value,units,status,message,filtered_value,sequence,source
CC-PT,pressure,378019.1778002,1779343187.1585476,2190736,201.44514160694382,psi,OK,,,,simulated
FI-PT,pressure,378019.1778339,1779343187.1585805,2865149,301.94052182919046,psi,OK,,,,simulated
thrust,thrust,378019.1778436,1779343187.1585903,93,5.543232624916072,N,OK,,,,simulated
tank_temp,temperature,378019.1778595,1779343187.158606,180697,20.009916387229154,°C,OK,,,,simulated
CC-PT,pressure,378019.1881815,1779343187.168929,2168949,198.19862523062525,psi,OK,,,,simulated
FI-PT,pressure,378019.1884083,1779343187.1691556,2867219,302.24897590267375,psi,OK,,,,simulated
thrust,thrust,378019.1885338,1779343187.1692815,105,6.258488447485888,N,OK,,,,simulated
tank_temp,temperature,378019.1885687,1779343187.1693153,180773,20.127577518214665,°C,OK,,,,simulated
CC-PT,pressure,378019.1985207,1779343187.1792686,2177909,199.53376943275558,psi,OK,,,,simulated
FI-PT,pressure,378019.1986219,1779343187.179369,2853726,300.23836198310397,psi,OK,,,,simulated
thrust,thrust,378019.1986577,1779343187.1794045,247,14.722349014562042,N,OK,,,,simulated
tank_temp,temperature,378019.1986805,1779343187.1794274,180634,19.912381502333268,°C,OK,,,,simulated
CC-PT,pressure,378019.2086903,1779343187.1894379,2190195,201.36452631527501,psi,OK,,,,simulated
FI-PT,pressure,378019.2087737,1779343187.1895204,2845790,299.05580568978854,psi,OK,,,,simulated
thrust,thrust,378019.2087895,1779343187.1895363,345,20.563604898882204,N,OK,,,,simulated
tank_temp,temperature,378019.2088054,1779343187.189552,180760,20.107451272125036,°C,OK,,,,simulated
CC-PT,pressure,378019.21923,1779343187.1999767,2178010,199.54881960735548,psi,OK,,,,simulated
FI-PT,pressure,378019.2192786,1779343187.2000253,2842935,298.63037748698923,psi,OK,,,,simulated
thrust,thrust,378019.2192917,1779343187.2000384,477,28.431418947150178,N,OK,,,,simulated
tank_temp,temperature,378019.2193062,1779343187.2000527,180681,19.98514562281115,°C,OK,,,,simulated
CC-PT,pressure,378019.2294937,1779343187.2102413,2189243,201.22266724379867,psi,OK,,,,simulated
FI-PT,pressure,378019.2295766,1779343187.210323,2854679,300.38037006621005,psi,OK,,,,simulated
thrust,thrust,378019.2295926,1779343187.2103393,509,30.338767807336353,N,OK,,,,simulated
tank_temp,temperature,378019.229609,1779343187.2103558,180682,19.986693795587275,°C,OK,,,,simulated
CC-PT,pressure,378019.2400609,1779343187.2208083,2193550,201.86446033292538,psi,OK,,,,simulated
FI-PT,pressure,378019.2401444,1779343187.2208912,2844520,298.86656092006695,psi,OK,,,,simulated
thrust,thrust,378019.2401587,1779343187.2209053,653,38.92183767817414,N,OK,,,,simulated
tank_temp,temperature,378019.2401723,1779343187.2209191,180824,20.206534329797048,°C,OK,,,,simulated
CC-PT,pressure,378019.2504211,1779343187.231169,2185121,200.60844130616684,psi,OK,,,,simulated
FI-PT,pressure,378019.2505368,1779343187.2312834,2840783,298.30970445987043,psi,OK,,,,simulated
thrust,thrust,378019.2505602,1779343187.231307,749,44.64388425873267,N,OK,,,,simulated
tank_temp,temperature,378019.250586,1779343187.2313325,180713,20.034687151647155,°C,OK,,,,simulated
CC-PT,pressure,378019.2607347,1779343187.2414825,2182041,200.14948548668454,psi,OK,,,,simulated
FI-PT,pressure,378019.2608161,1779343187.2415628,2857686,300.82844803672407,psi,OK,,,,simulated
thrust,thrust,378019.260831,1779343187.2415776,843,50.24672153552956,N,OK,,,,simulated
tank_temp,temperature,378019.2608595,1779343187.2416065,180702,20.017657251109778,°C,OK,,,,simulated
CC-PT,pressure,378019.2709119,1779343187.2516592,2198876,202.65809627271847,psi,OK,,,,simulated
FI-PT,pressure,378019.2709891,1779343187.251736,2857450,300.7932812921144,psi,OK,,,,simulated
thrust,thrust,378019.271008,1779343187.2517548,953,56.80323324241954,N,OK,,,,simulated
tank_temp,temperature,378019.2710252,1779343187.251772,180753,20.09661406269216,°C,OK,,,,simulated
CC-PT,pressure,378019.2814366,1779343187.2621849,2208683,204.11945332520642,psi,OK,,,,simulated
FI-PT,pressure,378019.2815351,1779343187.262282,2862052,301.4790328120032,psi,OK,,,,simulated
thrust,thrust,378019.281555,1779343187.2623017,1069,63.71737286059442,N,OK,,,,simulated
tank_temp,temperature,378019.2815762,1779343187.262323,180780,20.13841472764754,°C,OK,,,,simulated
CC-PT,pressure,378019.2917791,1779343187.2725265,2193900,201.9166144033211,psi,OK,,,,simulated
FI-PT,pressure,378019.291868,1779343187.2726147,2847786,299.3532329026738,psi,OK,,,,simulated
thrust,thrust,378019.2919019,1779343187.2726488,1181,70.39309387124604,N,OK,,,,simulated
tank_temp,temperature,378019.2919211,1779343187.2726676,180707,20.025398114990406,°C,OK,,,,simulated
CC-PT,pressure,378019.3019554,1779343187.2827027,2198751,202.6394698190057,psi,OK,,,,simulated
FI-PT,pressure,378019.3020187,1779343187.2827656,2857463,300.79521844330054,psi,OK,,,,simulated
thrust,thrust,378019.3020389,1779343187.2827857,1259,75.04225671794984,N,OK,,,,simulated
tank_temp,temperature,378019.3020578,1779343187.2828045,180749,20.09042137158766,°C,OK,,,,simulated
CC-PT,pressure,378019.3124215,1779343187.2931695,2220417,205.86795578813027,psi,OK,,,,simulated
FI-PT,pressure,378019.3125073,1779343187.293254,2857202,300.7563264079483,psi,OK,,,,simulated
thrust,thrust,378019.3125412,1779343187.2932885,1405,83.74453589254927,N,OK,,,,simulated
tank_temp,temperature,378019.312579,1779343187.293326,180650,19.937152266751273,°C,OK,,,,simulated
CC-PT,pressure,378019.3226835,1779343187.3034306,2199929,202.81500551879472,psi,OK,,,,simulated
FI-PT,pressure,378019.3227536,1779343187.3035007,2843126,298.6588387082623,psi,OK,,,,simulated
thrust,thrust,378019.3227775,1779343187.3035245,1469,87.55923361292162,N,OK,,,,simulated
tank_temp,temperature,378019.3227912,1779343187.3035378,180691,20.0006273505724,°C,OK,,,,simulated
CC-PT,pressure,378019.3329783,1779343187.313725,2202084,203.13612558080263,psi,OK,,,,simulated
FI-PT,pressure,378019.3330199,1779343187.3137665,2864131,301.7888279901538,psi,OK,,,,simulated
thrust,thrust,378019.3330308,1779343187.3137774,1477,88.03607082796816,N,OK,,,,simulated
tank_temp,temperature,378019.3330431,1779343187.3137896,180688,19.995982832244028,°C,OK,,,,simulated
CC-PT,pressure,378019.3433774,1779343187.3241243,2233178,207.76949319475807,psi,OK,,,,simulated
FI-PT,pressure,378019.3434241,1779343187.3241708,2862380,301.52790862654547,psi,OK,,,,simulated
thrust,thrust,378019.3434351,1779343187.3241816,1719,102.46039658312611,N,OK,,,,simulated
tank_temp,temperature,378019.3434456,1779343187.3241923,180632,19.90928515678102,°C,OK,,,,simulated
CC-PT,pressure,378019.3536522,1779343187.334399,2195258,202.11897219645647,psi,OK,,,,simulated
FI-PT,pressure,378019.3536863,1779343187.334433,2883631,304.6945547693437,psi,OK,,,,simulated
thrust,thrust,378019.3536953,1779343187.334442,1759,104.84458265835883,N,OK,,,,simulated
tank_temp,temperature,378019.3537045,1779343187.3344512,180622,19.89380342901977,°C,OK,,,,simulated
CC-PT,pressure,378019.3643537,1779343187.3451009,2220445,205.87212811376193,psi,OK,,,,simulated
FI-PT,pressure,378019.3645187,1779343187.3452659,2862078,301.48290711437545,psi,OK,,,,simulated
thrust,thrust,378019.3645447,1779343187.3452914,1843,109.85137341634754,N,OK,,,,simulated
tank_temp,temperature,378019.3645564,1779343187.345303,180616,19.884514392363016,°C,OK,,,,simulated
CC-PT,pressure,378019.3746911,1779343187.355438,2193951,201.9242139964359,psi,OK,,,,simulated
FI-PT,pressure,378019.3747356,1779343187.355482,2859006,301.02514338793077,psi,OK,,,,simulated
thrust,thrust,378019.3747456,1779343187.355492,1967,117.24235024956897,N,OK,,,,simulated
tank_temp,temperature,378019.374755,1779343187.355502,180707,20.025398114990406,°C,OK,,,,simulated
CC-PT,pressure,378019.3849679,1779343187.365715,2209788,204.28411117602718,psi,OK,,,,simulated
FI-PT,pressure,378019.3850073,1779343187.3657541,2873302,303.15541364615126,psi,OK,,,,simulated
thrust,thrust,378019.3850182,1779343187.3657649,2051,122.24914100755768,N,OK,,,,simulated
tank_temp,temperature,378019.3850281,1779343187.3657749,180713,20.034687151647155,°C,OK,,,,simulated
CC-PT,pressure,378019.3955785,1779343187.3763258,2232659,207.6921561589427,psi,OK,,,,simulated
FI-PT,pressure,378019.395654,1779343187.3764007,2863339,301.67081077942976,psi,OK,,,,simulated
thrust,thrust,378019.3956688,1779343187.3764155,2133,127.13672246178476,N,OK,,,,simulated
tank_temp,temperature,378019.3956825,1779343187.3764293,180705,20.022301769438155,°C,OK,,,,simulated
CC-PT,pressure,378019.4061103,1779343187.3868577,2231524,207.5230279592309,psi,OK,,,,simulated
FI-PT,pressure,378019.4062084,1779343187.3869555,2870929,302.80180904886834,psi,OK,,,,simulated
thrust,thrust,378019.4062387,1779343187.3869853,2189,130.47458296711056,N,OK,,,,simulated
tank_temp,temperature,378019.4062527,1779343187.3869994,180732,20.064102434393533,°C,OK,,,,simulated
CC-PT,pressure,378019.4169178,1779343187.3976653,2211902,204.59912176121736,psi,OK,,,,simulated
FI-PT,pressure,378019.416968,1779343187.3977146,2858547,300.95674704989756,psi,OK,,,,simulated
thrust,thrust,378019.4169896,1779343187.3977365,2307,137.5079318890471,N,OK,,,,simulated
tank_temp,temperature,378019.4170111,1779343187.3977578,180643,19.926315057318394,°C,OK,,,,simulated
CC-PT,pressure,378019.4273379,1779343187.4080856,2218080,205.5197156095166,psi,OK,,,,simulated
FI-PT,pressure,378019.4274155,1779343187.408162,2864858,301.89715944494714,psi,OK,,,,simulated
thrust,thrust,378019.4274369,1779343187.4081838,2327,138.70002492666345,N,OK,,,,simulated
tank_temp,temperature,378019.4274598,1779343187.4082067,180726,20.054813397736783,°C,OK,,,,simulated
CC-PT,pressure,378019.4391432,1779343187.4198906,2225343,206.60198707604255,psi,OK,,,,simulated
FI-PT,pressure,378019.4392128,1779343187.41996,2873464,303.179553530163,psi,OK,,,,simulated
