sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
CC-PT,pressure,53375.8305075,1780902727.3534262,1.305883682475529,,201.47092061888227,psi,,simulated
FI-PT,pressure,53375.8305543,1780902727.3534718,1.7077883133635894,,301.94707834089735,psi,,simulated
thrust,thrust,53375.8305721,1780902727.3534896,2.5000306963957186,2.4999693036042814,1.3801648604296608,lbs,,simulated
FM-FM,flow,53375.8305913,1780902727.3535087,1.6543938701622332,,8.009942532770935,gallons_per_minute,,simulated
tank_temp,temperature,53375.8306073,1780902727.3535247,,,20.0100773971978,°C,,simulated
CC-PT,pressure,53375.8407473,1780902727.3636658,1.2928833118538035,,198.22082796345086,psi,,simulated
FI-PT,pressure,53375.840799,1780902727.3637164,1.7090131889597404,,302.2532972399351,psi,,simulated
thrust,thrust,53375.8408094,1780902727.3637269,2.500033080581794,2.499966919418206,1.4873621311426442,lbs,,simulated
CC-PT,pressure,53375.8512689,1780902727.3741875,1.298241770057889,,199.56044251447224,psi,,simulated
FI-PT,pressure,53375.851329,1780902727.3742464,1.7009790779327247,,300.2447694831812,psi,,simulated
thrust,thrust,53375.8513388,1780902727.3742561,2.500076591977667,2.499923408022333,3.4437123216545906,lbs,,simulated
CC-PT,pressure,53375.8619505,1780902727.3848689,1.3056160575885842,,201.40401439714606,psi,,simulated
FI-PT,pressure,53375.8619891,1780902727.3849065,1.6962619657828768,,299.0654914457192,psi,,simulated
thrust,thrust,53375.8619981,1780902727.3849154,2.500107586396645,2.499892413603355,4.837276840923375,lbs,,simulated
FM-FM,flow,53375.8709578,1780902727.3938756,1.6666855414730954,,8.12517695131027,gallons_per_minute,,simulated
CC-PT,pressure,53375.8725144,1780902727.395432,1.2983556149429814,,199.58890373574533,psi,,simulated
FI-PT,pressure,53375.8725397,1780902727.395457,1.694561445064717,,298.64036126617924,psi,,simulated
thrust,thrust,53375.8725478,1780902727.3954651,2.500146925466886,2.499853074533114,6.6060318076876,lbs,,simulated
CC-PT,pressure,53375.8831037,1780902727.4060237,1.3050837880472885,,201.27094701182213,psi,,simulated
FI-PT,pressure,53375.8831618,1780902727.4060793,1.7015691639863448,,300.3922909965862,psi,,simulated
thrust,thrust,53375.8831719,1780902727.4060893,2.5001576543042248,2.4998423456957752,7.088419525896025,lbs,,simulated
CC-PT,pressure,53375.8940246,1780902727.416943,1.307686127148405,,201.92153178710126,psi,,simulated
FI-PT,pressure,53375.8940963,1780902727.4170136,1.6955228680995547,,298.88071702488867,psi,,simulated
thrust,thrust,53375.8941114,1780902727.417029,2.5002011657000978,2.4997988342999022,9.044769716407972,lbs,,simulated
CC-PT,pressure,53375.904588,1780902727.4275067,1.3026823166230104,,200.6705791557526,psi,,simulated
FI-PT,pressure,53375.9046731,1780902727.4275906,1.693300210630919,,298.3250526577297,psi,,simulated
thrust,thrust,53375.9046963,1780902727.4276137,2.5002303719795194,2.4997696280204806,10.357936282642017,lbs,,simulated
FM-FM,flow,53375.9112774,1780902727.4341955,1.650176841041665,,7.97040788476561,gallons_per_minute,,simulated
CC-PT,pressure,53375.914771,1780902727.4376886,1.3008327842751486,,200.20819606878715,psi,,simulated
FI-PT,pressure,53375.9148062,1780902727.4377234,1.7033716086592208,,300.8429021648052,psi,,simulated
thrust,thrust,53375.9148161,1780902727.4377334,2.5002577901193845,2.4997422098806155,11.590704895841327,lbs,,simulated
CC-PT,pressure,53375.925272,1780902727.4481905,1.3108994139313,,202.72485348282498,psi,,simulated
FI-PT,pressure,53375.9253032,1780902727.4482207,1.7032392863320454,,300.80982158301134,psi,,simulated
thrust,thrust,53375.9253117,1780902727.448229,2.5002917647709566,2.4997082352290434,13.11826600350134,lbs,,simulated
tank_temp,temperature,53375.9308136,1780902727.4537315,,,20.150701026798824,°C,,simulated
CC-PT,pressure,53375.9357904,1780902727.4587083,1.316744246094733,,204.18606152368324,psi,,simulated
FI-PT,pressure,53375.9358282,1780902727.4587457,1.7059816963650818,,301.4954240912704,psi,,simulated
thrust,thrust,53375.9358384,1780902727.4587555,2.5003263354690475,2.4996736645309525,14.672626428839598,lbs,,simulated
CC-PT,pressure,53375.9459756,1780902727.4688942,1.307916201104665,,201.97905027616625,psi,,simulated
FI-PT,pressure,53375.9460251,1780902727.4689426,1.6974749204486514,,299.36873011216284,psi,,simulated
thrust,thrust,53375.9460343,1780902727.4689517,2.500359118027582,2.499640881972418,16.14658890114312,lbs,,simulated
FM-FM,flow,53375.9517937,1780902727.4747124,1.6707863415224962,,8.1636219517734,gallons_per_minute,,simulated
CC-PT,pressure,53375.956308,1780902727.4792266,1.3108225239303737,,202.70563098259342,psi,,simulated
FI-PT,pressure,53375.9563963,1780902727.4793139,1.7032482270298275,,300.81205675745684,psi,,simulated
thrust,thrust,53375.9564216,1780902727.4793391,2.5003829598883343,2.4996170401116657,17.218561608272953,lbs,,simulated
CC-PT,pressure,53375.9668043,1780902727.4897232,1.3237388519929472,,205.9347129982368,psi,,simulated
FI-PT,pressure,53375.9668673,1780902727.4897845,1.7030920628418997,,300.7730157104749,psi,,simulated
